id,Title,tags
2207,Waterworld,"in a futurist world where the polar ice cap have melt and made earth a liquid planet, a beauti barmaid rescu a mutant seafar from a float island prison. they escape, along with her young charge, enola, and sail off aboard hi ship. adventur action sciencefict"
2208,Escape Plan: The Extractors,"after secur expert ray breslin is hire to rescu the kidnap daughter of a hong kong tech mogul from a formid latvian prison, breslin' girlfriend is also captured. now he and hi team must pull off a deadli rescu mission to confront their sadist foe and save the hostag befor time run out. action thriller crime"
2209,PokÃ©mon Heroes: Latios and Latias,"ash, pikachu and hi friend tri and stop a pair of thiev hide out in the canal and alleyway of altomare, the age-old water capital. join the adventur are two new legendari pokã©mon, a pair of sibl name latia and latios, who serv as peacekeep and protector of the soul dew - a priceless treasur with a mysteri power. anim adventur action fantasi"
2210,Violet Evergarden: Eternity and the Auto Memory Doll,"isabella, the daughter of the nobl york family, is enrol in an all-girl academi to be groom into a dame worthi of nobility. however, she ha given up on her future, see the prestigi school as noth more than a prison from the outsid world. her famili notic her struggl in her lesson and decid to hire violet evergarden to person tutor her under the guis of a handmaiden. at first, isabella treat violet coldly. violet seem to be abl to do everyth perfectly, lead isabella to assum that she wa born with a silver spoon. after some time, isabella begin to realiz that violet ha had her own struggl and start to open up to her. isabella soon reveal that she ha lost contact with her belov younger sister, whom she yearn to see again. have experienc the power of word through her past clientele, violet ask if isabella wish to write a letter to taylor. will violet be abl to help isabella convey her feel to her long-lost sister? drama fantasi anim"
2211,In the Mood for Love,"hong kong, 1962: chow mo-wan and su li-zhen move into neighbor apart on the same day. their encount are formal and politeâ€”until a discoveri about their spous creat an intim bond between them. drama romanc"
2212,Kalashnikov AK-47,"tank command kalashnikov is sever injur in battl in 1941. the accid leav him incapacit and unabl to return to the front line.â while recov in the hospit he begin creat the initi sketch of what will becom one of the worldâ€™ most legendari weapons. a self-taught inventor, mikhail kalashnikov, is onli 29 when he develop the now icon assault riffleâ â€” the ak-47. war histori drama"
2213,The In Between,"after surviv a car accid that took the life of her boyfriend, a teenag girl believ he' attempt to reconnect with her from the after world. sciencefict romanc"
2214,A Nightmare on Elm Street 4: The Dream Master,"dream demon freddi krueger is resurrect from hi appar demise, and rapidli track down and kill the remaind of the elm street kids. however, kristen, who can draw other into her dreams, will her special abil to her friend alice. alic soon realiz that freddi is take advantag of that unknown power to pull a new group of children into hi foul domain. horror thriller"
2215,Como Hackear Seu Chefe,"victor accident send a compromis email to hi nag boss. with the help of hi offic crush and a clueless friend, he'll tri to save hi job while have to deal with a rook hacker the porn industry, a children' onlin game and smiley, the compani mascot. comedi"
2216,True Lies,"a fearless, globe-trotting, terrorist-battl secret agent ha hi life turn upsid down when he discov hi wife might be have an affair with a use car salesman while terrorist smuggl nuclear war head into the unit states. action thriller"
2217,The Three Musketeers,the hot-head young d'artagnan along with three former legendari but now down on their luck musket must unit and defeat a beauti doubl agent and her villain employ from seiz the french throne and engulf europ in war. adventur action thriller
2218,Gonjiam: Haunted Asylum,"the crew of a horror web seri travel to an abandon asylum for a live broadcast, but they encount much more than expect as they move deeper insid the nightmarish old building. horror mysteri"
2219,Mia and the White Lion,a young girl from london move to africa with her parent where she befriend a lion cub. adventur famili drama
2220,Moms' Night Out,"yearn for an even without their kids, some friend plan a night out. but to do this, their husband need to watch the kids. what can go wrong? comedi"
2221,U.S. Marshals,"u.s. marshal sam gerard is accompani a plane load of convict from chicago to new york. the plane crash spectacularly, and mark sheridan escapes. but when diplomat secur agent john royc is assign to help gerard recaptur sheridan, it becom clear that sheridan is more than just anoth murderer. thriller crime action"
2222,The Man with the Golden Gun,"cool govern oper jame bond search for a stolen invent that can turn the sun' heat into a destruct weapon. he soon cross path with the menac francisco scaramanga, a hitman so skill he ha a seven-figur work fee. bond then join forc with the swimsuit-clad mari goodnight, and togeth they track scaramanga to a tropic isl hideout where the killer-for-hir lure the slick spi into a deadli maze for a final duel. adventur action thriller"
2223,The Healer,the film follow a man with an unwant gift for heal who meet a teenag with cancer who help him to find himself. famili drama comedi
2224,Acrimony,a faith wife take action when it becom clear to her that her deviou husband ha betray her. thriller
2225,Mars Attacks!,"'we come in peace' is not what those green men from mar mean when they invad our planet, arm with irresist weapon and a cruel sens of humor. thi star stud cast must play victim to the alienâ€™ fun and game in thi comedi homag to scienc fiction film of the '50 and '60s. comedi fantasi sciencefict"
2226,Sex Is Zero,"at sunjong university, a few student are serious, includ eun-hyo, who work hard at aerob in hope of do well in a nation competition. most student goof off: drinking, partying, and focus on sex. eun-shik, a law student who' been in the military, is older but social inept. he like eun-hyo; even though hi earnest and simpl side appeal to her, hi juvenil excess make him irrelev when sung-ok, a good-look rich kid, charm eun-hyo. they begin an affair, leav eun-shik on the sidelines. the nation competit approach and complic arise. comedi drama"
2227,RV,"climb aboard their mammoth recreat vehicl for a cross-countri road trip to the colorado rockies, the mcneiv famili â€“ led by dysfunct patriarch, bob â€“ prepar for the adventur of a lifetime. but spend two week togeth in one serious small space ha a way of cramp their style. famili comedi"
2228,Evil Eye,a seemingli perfect romanc turn dark when a mother becom convinc her daughterâ€™ new boyfriend ha a sinist connect to her own past. mysteri thriller horror
2229,The Zookeeper's Wife,"the account of keeper of the warsaw zoo, jan and antonina zabinski, who help save hundr of peopl and anim dure the nazi invasion. drama histori"
2230,Marvel One-Shot: Agent Carter,"the film take place one year after the event of captain america: the first avenger, in which agent carter, a member of the strateg scientif reserve, is in search of the mysteri zodiac. action adventur sciencefict fantasi"
2231,Alexander,"alexander, the king of macedonia, lead hi legion against the giant persian empire. after defeat the persians, he lead hi armi across the then known world, ventur farther than ani western had ever gone, all the way to india. war histori action adventur drama romanc"
2232,Bridget Jones's Diary,"a chaotic bridget jone meet a snobbish lawyer, and he soon enter her world of imperfections. comedi romanc drama"
2233,Polar,"when a retir assassin realiz that he is the target of a hit, he wind up back in the game go head to head with a gang of younger, ruthless killers. action crime drama"
2234,Deadly Excursion,a woman and her daughter charter a sail boat while on spring break onli to discov the captain ha plan to make sure they never return home. thriller tvmovi
2235,Kiss of the Dragon,"liu jian, an elit chines polic officer, come to pari to arrest a chines drug lord. when jian is betray by a french offic and frame for murder, he must go into hide and find new allies. action crime thriller"
2236,Juno,"face with an unplan pregnancy, an offbeat young woman make an unusu decis regard her unborn child. comedi drama romanc"
2237,Ultimate Avengers 2,"mysteri wakanda lie in the darkest heart of africa, unknown to most of the world. an isol land hidden behind close borders, fierc protect by it young king: black panther. but when brutal alien invad attack, the threat leav black panther with no option but to go against the sacr decre of hi peopl and ask for help from outsiders. adventur anim action sciencefict"
2238,Naked,"follow a wild night out with hi best man, rob anderson wake up to find himself nake in an elev on the morn of hi wed day and is forc to reliv the morn over and over again. comedi"
2239,The Other Lamb,"for her entir life, the cult she wa born into ha been all that teenag selah ha known. along with a band of similarli cloister young women she live seemingli unstuck in time, cut off from modern societi in a remot forest commun presid over by a man call shepherd, a controlling, messiah-lik figur with a frighten dark side. but when her insular world is rock by a seri of nightmarish vision and disturb revelations, selah begin to question everyth about her existenceâ€”includ her allegi to the increasingli danger shepherd. horror drama thriller"
2240,Holidate,"fed up with be singl on holidays, two stranger agre to be each other' platon plus-on all year long, onli to catch real feel along the way. comedi romanc"
2241,Mighty Morphin Power Rangers: The Movie,"power up with six incred teen who out-maneuv and defeat evil everywher as the mighti morphin power ranger, but thi time the power ranger may have met their match, when they face off with the most sinist monster the galaxi ha ever seen. famili action adventur sciencefict fantasi"
2242,District B13,"set in the ghetto of pari in 2010, an undercov cop and ex-thug tri to infiltr a gang in order to defus a neutron bomb. action thriller sciencefict"
2243,Monster High: Welcome to Monster High,"monster onc live in hidingâ€”even from each otherâ€”becaus they were afraid they would be in danger if human knew they existed. but draculaura, the daughter of dracula, along with her best ghoulfriends, dreamt of a school where everyon wa welcom and accept for who they are. determin to make their dream come true, the ghoul travel the world on an epic adventur to recruit new students. but even in thi amaz place, there' drama: a villai zombi is spread troubl rather than friendship, and everi student must live with the fear that their secret will be revealed. now the ghoul must save their school so that everi monster ha a place where they belong and their uniqu is celebrated! anim famili"
2244,Land of the Dead,"the world is full of zombi and the survivor have barricad themselv insid a wall citi to keep out the live dead. as the wealthi hide out in skyscrap and chao rule the streets, the rest of the survivor must find a way to stop the evolv zombi from break into the city. horror sciencefict thriller"
2245,If It Bleeds We Can Kill It: The Making of 'Predator',"a behind-the-scen look at the 1987 sci-fi/act film that ha sinc becom one of the modern classics, about a team of special forc soldier who find themselv be stalk and kill by a hunter from anoth world. includ interview with the cast and crew, who relat their experi in bring thi film to life. documentari"
2246,Winnie the Pooh,"dure an ordinari day in hundr acr wood, winni the pooh set out to find some honey. misinterpret a note from christoph robin, owl convinc pooh, tigger, rabbit, piglet, kanga, roo, and eeyor that their young friend ha been captur by a creatur name backson"""""""" and they set out to rescu him."""""""" anim famili comedi adventur"
2247,Shiloh,"an abus beagl run away from hi owner. on the road, he meet young marti preston and follow him home. the boy immedi form a bond with the dog and name him shiloh. hi stern father won't let him keep the dog becaus it belong to judd travers, a local hunter. after shiloh is mistreat again, he run away and return to marty. know hi father will onc again make him bring shiloh back to judd, he make a home for the dog in an old shed up the hill from the prestons' hous and hide him from hi family. hi secret is soon discov when a stray attack the dog one night and he must turn to hi father for help. drama famili"
2248,Ajin: Demi-Human â€“ Compel,"for high schooler keiâ€”and for at least forty-six othersâ€”immort come as the nastiest surpris ever. sadli for kei, such a feat doesn't make him a superhero. in the eye of both the gener public and governments, he' a rare specimen who need to be hunt down and hand over to scientist to be experi on for lifeâ€”a demi-human who must die a thousand death for the benefit of humanity. anim action thriller"
2249,Shin Godzilla,"when a massive, gill monster emerg from the deep and tear through the city, the govern scrambl to save it citizens. a rag-tag team of volunt cut through a web of red tape to uncov the monster' weak and it mysteri tie to a foreign superpower. but time is not on their side - the greatest catastroph to ever befal the world is about to evolv right befor their veri eyes. action sciencefict horror"
2250,12 Years a Slave,"in the pre-civil war unit states, solomon northup, a free black man from upstat new york, is abduct and sold into slavery. face cruelti as well as unexpect kind solomon struggl not onli to stay alive, but to retain hi dignity. in the twelfth year of hi unforgett odyssey, solomonâ€™ chanc meet with a canadian abolitionist will forev alter hi life. drama histori"
2251,The Ultimate Gift,"when hi wealthi grandfath final dies, jason steven fulli expect to benefit when it come to the read of the will. but instead of a sizabl inheritance, jason receiv a test, a seri of task he must complet befor he can get ani money. romanc drama famili"
2252,In Hell,a man must surviv a prison where harden crimin battl to the death for the warden' entertainment. action drama thriller
2253,For the Sake of Vicious,"an overwork nurs return home to find a maniac hide out with a bruis and beaten hostage. when an unexpect wave of violent intrud descend upon her home, it becom a fight for survival. action horror mysteri"
2254,The Young Messiah,"tell the stori of jesu christ at age seven as he and hi famili depart egypt to return home to nazareth. told from hi childhood perspective, it follow young jesu as he grow into hi religi identity. drama histori"
2255,The Big Boss,"chen is a citi boy who move with hi cousin to work at an ice factory. he doe thi with a famili promis never to get involv in ani fight. however, when member of hi famili begin disappear after meet the manag of the factory, the result mysteri and pressur forc him to break that vow and take on the villaini of the big boss. action"
2256,Naked Gun 33â…“: The Final Insult,"frank drebin is persuad out of retir to go undercov in a state prison. there he ha to find out what top terrorist, rocco, ha plan for when he escapes. ad to hi problems, frank' wife, jane, is desper for a baby. comedi crime"
2257,This Means War,two top cia oper wage an epic battl against one anoth after they discov they are date the same woman. action comedi romanc
2258,The Vanished,"a famili vacat take a terrifi turn when parent paul and wendi discov their young daughter ha vanish without a trace. stop at noth to find her, the search for the truth lead to a shock revelation. thriller"
2259,Leprechaun: Origins,two young coupl backpack through ireland discov that one of ireland' most famou legend is a terrifi reality. horror
2260,Batman: Mystery of the Batwoman,"as if the penguin wasn't enough to contend with, a new vigilant ha surfac in gotham city, and her strong-arm tactic give batman caus for concern. adventur fantasi anim action sciencefict famili"
2261,Naruto Shippuden: OVA Hashirama Senju vs Madara Uchiha,naruto shippå«den ultim ninja storm gener ova madara vs hashirama is the tenth naruto ova. it is distribut as part of naruto shippå«den: ultim ninja storm generations. anim
2262,Fighting with My Family,"born into a tight-knit wrestl family, paig and her brother zak are ecstat when they get the once-in-a-lifetim opportun to tri out for the wwe. but when onli paig earn a spot in the competit train program, she must leav her love one behind and face thi new cutthroat world alone. paige' journey push her to dig deep and ultim prove to the world that what make her differ is the veri thing that can make her a star. comedi"
2263,Pom Poko,"the raccoon of the tama hill are be forc from their home by the rapid develop of hous and shop malls. as it becom harder to find food and shelter, they decid to band togeth and fight back. the raccoon practic and perfect the ancient art of transform until they are even abl to appear as human in hilari circumstances. adventur anim fantasi"
2264,Lethal Weapon,"veteran buttoned-down lapd detect roger murtaugh is partner with unhing cop martin riggs, who -- distraught after hi wife' death -- ha a death wish and take unnecessari risk with crimin at everi turn. the odd coupl embark on their first homicid investig as partners, involv a young woman known to murtaugh with tie to a drug and prostitut ring. adventur action comedi thriller crime"
2265,Diary of a Wimpy Kid: The Long Haul,a heffley famili road trip to attend meemaw' 90th birthday parti goe hilari off cours thank to greg' newest scheme to get to a video game convention. comedi famili
2266,Fargo,"jerry, a small-town minnesota car salesman is burst at the seam with debt... but he' got a plan. he' go to hire two thug to kidnap hi wife in a scheme to collect a hefti ransom from hi wealthi father-in-law. it' go to be a snap and nobody' go to get hurt... until peopl start dying. enter polic chief marge, a coffee-drinking, parka-wear - and extrem pregnant - investig who'll stop at noth to get her man. and if you think her small-tim investig skill will give the crook a run for their ransom... you betcha! crime drama thriller"
2267,Monk Comes Down the Mountain,"when a young monk is forc to leav hi impoverish monastery, he reli on hi extraordinari martial art skill to surviv in the outsid world. in search of a mentor, he cross path with a kung fu master who is in possess of the book of secrets, which reveal the lost art of the deadli ape strike kung fu technique. the rare book is covet by a sinist father and son who will go to ani extrem to obtain it. the monk find himself immers in a deadli battl to protect both the book and hi master. action comedi"
2268,Live and Let Die,jame bond must investig a mysteri murder case of a british agent in new orleans. soon he find himself up against a gangster boss name mr. big. adventur action thriller
2269,Thunderbolt,"in order to releas hi kidnap sister, sport car mechan jacki chan ha to beat a super-crimin street racer. action thriller"
2270,Free Birds,two turkey from opposit side of the track must put asid their differ and team up to travel back in time to chang the cours of historyâ€”and get turkey off the holiday menu for good. anim comedi famili
2271,Sniper: Ghost Shooter,"elit sniper brandon beckett and richard miller are task with protect a ga pipelin from terrorist look to make a statement. when battl with the enemi lead to sniper be kill by a ghost shooter who know their exact location, tension boil as a secur breach is suspected. is there someon work with the enemi on the inside? is the mission a front for other activity? is the colonel pull the strings? action drama war"
2272,Return to Never Land,"in 1940, the world is besieg by world war ii. wendy, all grown up, ha two children; includ jane, who doe not believ wendy' stori about peter pan. adventur fantasi anim famili"
2273,Y Tu MamÃ¡ TambiÃ©n,"in mexico, two teenag boy and an attract older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other. drama romanc"
2274,Spenser Confidential,"spenser, a former boston patrolman who just got out from prison, team up with hawk, an aspir fighter, to unravel the truth behind the death of two polic officers. comedi action thriller"
2275,Cold Eyes,"ha yoon-ju becom the newest member to a unit within the korean polic forc special crime depart that special in surveil activ on high profil criminals. she team up with hwang sang-jun, the veteran leader of the unit, and tri to track down jame who is the cold-heart leader of an arm crimin organization. crime action thriller"
2276,The Bad Seed,a widow suspect that hi seemingli perfect adolesc daughter is a heartless killer. horror drama thriller
2277,Memories of Murder,"1986 gyunggi province. the bodi of a young woman is found brutal rape and murdered. two month later, a seri of rape and murder commenc under similar circumstances. and in a countri that had never known such crimes, the dark whisper about a serial murder grow louder. a special task forc is set up in the area, with two local detect park doo-man and jo young-goo join by a detect from seoul who request to be assign to the case. crime drama thriller"
2278,Free Willy 2: The Adventure Home,jess becom reunit with willi three year after the whale' jump to freedom as the teenag tri to rescu the killer whale and other orca from an oil spill. famili adventur drama
2279,Shame,"brandon, a thirty-someth man live in new york, elud intimaci with women but feed hi deepest desir with a compuls addict to sex. when hi younger sister temporarili move into hi apartment, stir up bitter memori of their share pain past, brandon' life, like hi fragil mind, get out of control. drama"
2280,Tooth Fairy 2,"larri guthrie, who lose hi first love to the town hot shot, decid to win her back by volunt with the children at her after-school program. when larri accident tell the kid the tooth fairi is make-believe, he soon is transform into a tutu-clad fairi with the sentence"""""""" of collect teeth."""""""" comedi famili"
2281,A Cinderella Story: Christmas Wish,"kat is an aspir singer-songwrit who dream of make it big. however, her dream are stall by her reality: a conniv and cruel stepfamili and a demor job work as a sing elf at billionair terrenc wintergardenâ€™ santa land. comedi music romanc fantasi"
2282,Good Time,"after a botch bank robberi land hi younger brother in prison, conni nika embark on a twist odyssey through new york city' underworld to get hi brother nick out of jail. thriller crime drama"
2283,Old School,three friend attempt to recaptur their glori day by open up a fratern near their alma mater. comedi
2284,Freedom Writers,"a young teacher inspir her class of at-risk student to learn tolerance, appli themselves, and pursu educ beyond high school. crime drama"
2285,Jaws 2,polic chief brodi must protect the citizen of amiti after a second monstrou shark begin terror the waters. horror thriller
2286,The Sound of Music,"in the year befor the second world war, a tomboyish postul at an austrian abbey becom a gover in the home of a widow naval captain with seven children, and bring a new love of life and music into the home. drama famili music romanc"
2287,The Bone Collector,"rooki cop, amelia donaghi reluctantli team with lincoln rhyme â€“ formerli the department' top homicid detect but now paralyz as a result of a spinal injuri â€“ to catch a grisli serial killer dub 'the bone collector'. the murderer' special signatur is to leav tantal clue base on the grim remain of hi crimes. drama mysteri thriller crime"
2288,Eli,"a boy name eli with a rare autoimmun disord is confin to a special experiment clinic for hi treatment. he soon begin experienc supernatur forces, turn the supposedli safe facil into a haunt prison for him and hi fellow patients. horror"
2289,Dennis the Menace,mr. wilson' ever-pres annoy come in the form of one mischiev kid name dennis. but he'll need dennis' trick to uncov a collect of gold coin that go miss when a shadi drifter name switchblad sam come to town. famili comedi
2290,Miss Congeniality,"when the local fbi offic receiv a letter from a terrorist known onli as 'the citizen', it' quickli determin that he' plan hi next act at the miss america beauti pageant. becaus tough-as-nail graci hart is the onli femal agent at the office, she' chosen to go undercov as the contest from new jersey. comedi crime action"
2291,Down,"a pair of cowork get trap in an elev over a long weekend, but what at first promis to be a romant connect turn nefari as each parti begin to reveal who they truli are. horror sciencefict drama"
2292,A Score to Settle,a former mob enforc who is releas from prison after serv 22 year for a crime he didn't commit set out on a path for reveng against the peopl who wrong him. action thriller drama
2293,The Animal,"when loser marvin mang is involv in a horribl car accident, he' brought back to life by a derang scientist as half man and half animal. hi newfound power are awesom -- but their advers side effect could take over hi life. now, marvin must fight to control hi crazi primal urg around hi new squeeze, rianna, and hi rival, sgt. sisk, who both think he' one cool cat. comedi"
2294,Ninja: Shadow of a Tear,"fight everyon and trust no one: it' the code of surviv practic by martial-art master casey bowman after hi life of domest bliss is shatter by a savag act of violence. vow revenge, the fearless american stealthili track the killer from osaka to bangkok to rangoon with the help of a wise and crafti sensei. hi onli clues: a seri of victim whose neck bear the distinct mark of strangul by barb wire. fight to aveng as well as to survive, casey must sharpen hi razor-lik respons and take hi battl skill to the next level, even use deep medit to fake hi own death. hi target: the sinist drug lord goro, who is flood the street with deadli meth cook at hi remot jungl factory. to prepar for hi ultim confrontation, casey must final becom an invis warrior worthi of the name ninja. but just when hi prey is cornered, an unexpect twist show casey that hi battl is onli beginning: he truli can trust no one. action crime thriller"
2295,Pilgrimage,in 13th centuri ireland a group of monk must escort a sacr relic across an irish landscap fraught with peril. action adventur drama
2296,The Magnificent Seven,an oppress mexican peasant villag hire seven gunfight to help defend their homes. western
2297,Birth of the Dragon,"set against the backdrop of san franciscoâ€™ chinatown, thi cross-cultur biopic chronicl bruce leeâ€™ emerg as a martial-art superstar after hi legendari secret showdown with fellow martial artist wong jack man. action drama"
2298,One Piece: Giant Mecha Soldier of Karakuri Castle,"the straw hat visit an island, known as mecha island, where a fisherman sing an old folk song about a golden crown. search for that mysteri treasure, they find a hidden entranc into the island. the island' leader, ratchet, impress with the find and in search of the golden crown himself, invit the crew to join him in hi search and the crew along with ratchet and hi henchmen enter the cave. as it turn out, the island true form, is that of a giant turtle. ratchet, who had known thi all along, use hi mechan castl to take control of the turtle, in order to use it, to take over the world. now the straw hat have to stop not onli ratchet, but also the helpless turtle, from crash into a nearbi island. action anim comedi"
2299,The Way of the Dragon,"tang lung arriv in rome to help hi cousin in the restaur business. they are be pressur to sell their properti to the syndicate, who will stop at noth to get what they want. when tang arriv he pose a new threat to the syndicate, and they are unabl to defeat him. the syndic boss hire the best japanes and european martial artist to fight tang, but he easili finish them off. action crime"
2300,Taxi 4,"befor be extradit to africa to stand trial, a notori belgian crimin is entrust to the marseil polic depart for less than 24 hours. but the wili crook convinc bumbl policeman emilien he' a lowli belgian embassi employe who got railroad by the brilliant master criminal. action comedi"
2301,Ben 10 Versus the Universe: The Movie,"a blast from ben' past return to do doubl the damag on team tennyson and planet earth itself, forc ben to go interstellar to save the day. anim action adventur sciencefict"
2302,Okja,"a young girl name mija risk everyth to prevent a powerful, multi-n compani from kidnap her best friend - a massiv anim name okja. adventur drama sciencefict"
2303,Logan Lucky,"tri to revers a famili curse, brother jimmi and clyde logan set out to execut an elabor robberi dure the legendari coca-cola 600 race at the charlott motor speedway. action comedi crime drama"
2304,Step Brothers,"brennan huff and dale doback might be grown men. but that doesn't stop them from live at home and turn into jealous, competit stepbroth when their singl parent marry. brennan' constant competit with dale strain hi mom' marriag to dale' dad, leav everyon to wonder whether they'll ever see eye to eye. comedi"
2305,Tempus Tormentum,"a drifter pass through a small town is drug by three mask psychopath and forc into a bizarr game of cat and mouse. he is chase through a seri of more and more bizarr event until, in the end, he find that thi even of terror ha last consequences. itâ€™ a feel bad film, nasti and brutish, red in tooth and claw. horror thriller"
2306,Paranormal Activity 4,"it ha been five year sinc the disappear of kati and hunter, and a suburban famili wit strang event in their neighborhood when a woman and a mysteri child move in. horror"
2307,National Lampoon's Vacation,"clark griswold is on a quest to take hi famili on a quest to walley world theme park for a vacation, but thing don't go exactli as planned. comedi adventur"
2308,Inherent Vice,"in lo angel at the turn of the 1970s, drug-fuel detect larri doc"""""""" sportello investig the disappear of an ex-girlfriend."""""""" drama mysteri comedi"
2309,Face/Off,"sean archer, a veri tough, rug fbi agent. who is still griev for hi dead son michael. archer believ that hi son' killer is hi sworn enemy, a veri power criminal, castor troy. one day, archer ha final corner castor, however, their fight ha knock out troy cold. as archer final breath easi over the captur of hi enemy, he find out that troy ha plant a bomb that will destroy the entir citi of lo angel and all of it inhabitants. unfortun the onli other person who know it locat is castor' brother pollux, and he refus to talk. the solution, a special oper doctor that can cut off people' faces, and can place a person' face onto anoth person. archer undergo one of those surgeri to talk to pollux. however, castor troy somehow regain conscious and now want reveng on archer for take hi face. not onli is troy ruin archer' mission, but hi person life as well. archer must stop troy again. thi time, it' personal. action crime sciencefict thriller"
2310,Eight Below,"in the antarctic, after an expedit with dr. davi mcclaren, the sled dog trainer jerri shepherd ha to leav the polar base with hi colleagu due to the proxim of a heavi snow storm. he tie hi dog to be rescu after, but the mission is called-off and the dog are left alon at their own fortune. for six months, jerri tri to find a sponsor for a rescu mission. adventur drama famili"
2311,Arthur,a drunken playboy stand to lose a wealthi inherit when he fall for a woman that hi famili doesn't like. comedi romanc
2312,The Spy Who Loved Me,russian and british submarin with nuclear missil on board both vanish from sight without a trace. england and russia both blame each other as jame bond tri to solv the riddl of the disappear ships. but the kgb also ha an agent on the case. adventur action thriller
2313,Forgotten,"seoul, south korea, 1997. when the young but extrem anxiou student jin-seok, hi parent and hi success older brother yoo-seok move to a new home, mysteri and frighten event begin to happen around them, unexplain event that threaten to ruin their seemingli happi lives. unabl to understand what is happening, jin-seok wonder if he is lose hi mind. thriller mysteri drama horror crime"
2314,Innerspace,"test pilot tuck pendleton volunt to test a special vessel for a miniatur experiment. accident inject into a neurot hypochondriac, jack putter, tuck must convinc jack to find hi ex-girlfriend, lydia maxwell, to help him extract tuck and hi ship and re-enlarg them befor hi oxygen run out. action comedi sciencefict"
2315,Gantz: Perfect Answer,"perfect answer begin sever month after the event of the first film. kurono is still fight alien under the order of gantz, a mysteri giant black orb, and he is close to reach the score he need to resurrect hi friend kato. outsid hi night time missions, kurono continu to live hi normal life, spend time with hi new girlfriend tae. meanwhile, young pop star eriko is be secretli order by gantz to carri out assassinations, and cop shigeta inch closer toward find out the truth about the gantz missions. as the mission begin to get increasingli danger for both the alien fighter and the gener public, kurono discov that the endgam for gantz is quickli approaching. action mysteri sciencefict horror"
2316,The Hunt for Red October,"a new technologically-superior soviet nuclear sub, the red october, is head for the u.s. coast under the command of captain marko ramius. the american govern think ramiu is plan to attack. a lone cia analyst ha a differ idea: he think ramiu is plan to defect, but he ha onli a few hour to find him and prove it - becaus the entir russian naval and air command are tri to find him, too. the hunt is on! action adventur thriller"
2317,Scooby-Doo! Return to Zombie Island,"scooby-doo and hi pal win an all-expens paid vacat and embark on a trip of a lifetim to a tropic paradise. their destin however, turn out to be zombi island. as soon as they arrive, they realiz the place look strang familiar and is reminisc of a trip they took year ago, in which they becam wrap up in a mysteri involv zombies. the gang soon learn that their trip to paradis come with a price when the zombi re-emerg and attack their hotel. will scooby-doo and the mysteri inc. gang final solv the mysteri behind zombi island? anim comedi famili adventur"
2318,Naruto x UT,"naruto x ut is the eighth naruto ova. approxim 200,000 copi of thi ova were distribut by uniqlo to promot a line of naruto-them shirt design by masashi kishimoto in conjunct with studio pierrot. it show the aftermath between a fight between naruto and sasuk and show clip of their time togeth and the stori so far. anim"
2319,Creepshow,"inspir by the e.c. comic of the 1950s, georg a. romero and stephen king bring five tale of terror to the screen. horror comedi"
2320,The Breakfast Club,"five high school student from differ walk of life endur a saturday detent under a power-hungri principal. the dispar group includ rebel john, princess claire, outcast allison, braini brian and andrew, the jock. each ha a chanc to tell hi or her story, make the other see them a littl differ -- and when the day ends, they question whether school will ever be the same. comedi drama"
2321,Stigmata,"a young woman with no strong religi beliefs, franki paig begin have strang and violent experiences, show sign of the wound that jesu receiv when crucified. when the vatican get word of frankie' situation, a high-rank cardin request that the rev. andrew kiernan investig her case. soon kiernan realiz that veri sinist forc are at work, and tri to rescu franki from the entiti that is plagu her. horror thriller"
2322,Asterix & Obelix Take on Caesar,"set in 50 b.c., asterix and obelix are live in a small but well-protect villag in gaul, where a magic potion concoct by druid turn the townsfolk into mighti soldiers. when roman troop carv a path through gaul to reach the english channel, caesar and hi aid de camp detritu discov the secret elixir and captur the druid leader who know it formula, and asterix and obelix are sent off to rescu them. famili adventur comedi fantasi"
2323,Burlesque,"the burlesqu loung ha it best day behind it. tess, a retir dancer and owner of the venue, struggl to keep the age theater alive, face all kind of financi and artist challenges. with the lounge' troup member becom increasingli distract by person problem and a threat come from a wealthi businessman' quest to buy the spot from tess, the good fortun seem to have abandon the club altogether. meanwhile, the life of ali, a small-town girl from iowa, is about to chang dramatically. hire by tess as a waitress at the lounge, ali escap a hollow past and quickli fall in love with the art of burlesque. back by newfound friend amongst the theater' crew, she manag to fulfil her dream of be on stage herself. thing take a dramat turn though when ali' big voic make her becom the main attract of the venue. drama romanc"
2324,Spawn,"after be murder by corrupt colleagu in a covert govern agency, al simmon make a pact with the devil to be resurrect to see hi belov wife wanda. in exchang for hi return to earth, simmon agre to lead hell' armi in the destruct of mankind. action adventur fantasi horror sciencefict thriller"
2325,Girl vs. Monster,skylar find out that her parent are monster hunter after she accident releas some monster from a secret contain chamber; so she and her techno friend must recaptur all the monster and also save her mom and dad from these monster who are out for revenge. famili comedi sciencefict tvmovi
2326,Winter on Fire: Ukraine's Fight for Freedom,"a documentari on the unrest in ukrain dure 2013 and 2014, as student demonstr support european integr grew into a violent revolut call for the resign of presid viktor f. yanukovich. documentari"
2327,Road Wars,"after the earthâ€™ water suppli is depleted, the survivor form rove road gangs, arm to the teeth and desper to find and protect water supplies. but when a new breed of blood-drink human emerges, the survivor must contend with a whole new threat to their existence. sciencefict action"
